,0,1,2,3,4,5,6,7,8,9
0,-2775.348767272888,-1472.3331994817909,28.115700764920348,33.01010558985888,3.410605131648481e-13,-1.1368683772161603e-13,-9.947598300641403e-14,-5.684341886080802e-14,-1.1368683772161603e-13,0.0
1,7321.795935706763,-188.6426503090879,-150.3580782086833,11.690366532646067,9.094947017729282e-13,-2.5579538487363607e-13,-1.4210854715202004e-13,-4.547473508864641e-13,2.842170943040401e-14,-1.4210854715202004e-13
2,2250.4594405526295,-903.6613456478754,295.72988391334866,-23.30889465434268,1.1368683772161603e-13,2.842170943040401e-14,-1.2789769243681803e-13,-3.410605131648481e-13,8.526512829121202e-14,-1.4210854715202004e-13
3,-1736.9741346991632,-397.65611856104806,-165.40579007014912,-18.10473331256685,1.1368683772161603e-13,1.4210854715202004e-13,-2.1316282072803006e-13,-2.842170943040401e-14,-5.684341886080802e-14,8.526512829121202e-14
4,-1481.2968535428063,-141.83632279738413,-126.30769991132547,-14.54111971641521,2.2737367544323206e-13,1.9895196601282805e-13,-4.263256414560601e-14,1.7053025658242404e-13,-1.4210854715202004e-13,-5.684341886080802e-14
5,-1226.4898783835743,111.12803419594275,-67.76995133748187,-7.3458787154279435,1.1368683772161603e-13,2.5579538487363607e-13,-2.2737367544323206e-13,-3.410605131648481e-13,-8.526512829121202e-14,-1.1368683772161603e-13
6,-970.6385360277964,367.51891771367264,-32.55979286166257,-4.508590600243338,2.2737367544323206e-13,8.526512829121202e-14,-9.947598300641403e-14,-3.979039320256561e-13,-5.684341886080802e-14,-2.842170943040401e-14
7,-716.0056220679871,619.9121869529317,29.865887395184473,3.412975881710736,0.0,-5.684341886080802e-14,-8.526512829121202e-14,2.842170943040401e-14,0.0,5.684341886080802e-14
8,-459.9802185127792,876.8741582247276,61.18811418799851,5.5239385159286485,4.547473508864641e-13,1.1368683772161603e-13,-2.4158453015843406e-13,-3.694822225952521e-13,2.842170943040401e-14,2.842170943040401e-14
9,-205.5213657523982,1128.6963397099207,127.5017261278499,14.171830478849415,3.410605131648481e-13,5.115907697472721e-13,-1.1368683772161603e-13,-5.400124791776761e-13,-5.684341886080802e-14,-1.4210854715202004e-13
