Region,coal,oil,gas,biogas,AirEmiss,Sulphur,Nitrogen,Ammonia,NonMeth,Partic,GreenGE,GreenGIE,Country_y,Population
Caucasus,92.62002750295144,126.93585048585078,34.275271581412426,46.168850429785365,106.8829945399453,5.798174271353503,50.77351798870403,0.754757296674674,10.250657238558361,5.499781851737934,12046.862588008942,7079.506426173298,ArmeniaAzerbaijanGeorgia,17091587
Central Asia,0.2030724815459124,7.523963676850808,84.04400688531464,8.228956956288636,45.796102586039176,0.963960293996173,16.168969351228625,0.4580142833351982,1.7681481635730907,2.737434205049906,4793.172732577656,926.6800616316801,Kazakhstan,18776707
Eastern Europe,251.38653638991224,279.03378912017695,234.90224621323856,334.67742827667223,23.488811781338025,0.9831221183838209,10.70383077808607,0.2183213779566684,2.3941000641564067,1.8357921440566916,1833.426432530845,1046.9963295816697,AlbaniaBelarusBulgariaCzech RepublicHungaryMoldovaPolandRomaniaRussiaSlovakiaUkraine,295894065
Northern Europe,122.29198369938908,393.792361393085,215.56497406427474,168.35068084325124,131.29744205839867,5.845766677943458,59.86201575684803,1.5618460589925267,7.696357386497628,14.329609472336477,12833.387197335232,5908.765510575089,DenmarkEstoniaFinlandIcelandIrelandLatviaLithuaniaNorwaySweden,38095944
Southeastern Europe,98.38884779024062,236.91441801680722,179.46696488635286,85.22976930659934,139.53256324907872,10.680365951477716,81.28218640895582,1.5548287847729465,16.8464003533966,13.0489369039823,19064.816501141177,8195.546117868616,Bosnia and HerzegovinaCroatiaKosovoMontenegroNorth MacedoniaSerbia,20645360
Southern Europe,222.36643103151863,269.5261826970728,193.89378117206468,214.2136050993439,31.07100673883036,1.8642604043298214,17.91406870191586,0.35629100636947286,3.9928902547504244,4.092408638192644,2967.3191276741168,2266.1323496804634,CyprusGreeceItalyMaltaPortugalSan MarinoSloveniaSpainVatican City,131633971
Western Asia,1.3202067290921211,16.609223212504357,47.685535205313,34.38503485309053,11.795245494001017,0.2703373514909763,2.8610703032794995,0.04624191538661437,0.5015469284240481,0.3130221964632357,813.3834347491655,125.6831546405416,Turkey,84339067
Western Europe,201.12493121545597,342.54001942407217,385.33936172440264,170.99568763606933,22.021783248649662,1.3949679698802364,9.52047648409167,0.22952771918203183,2.528971255739978,2.368756362647569,1908.564648445971,1246.1158351631761,AndorraAustriaBelgiumFranceGermanyLiechtensteinLuxembourgMonacoNetherlandsSwitzerlandUnited Kingdom,264020399
